日期,时间,温度(℃),抓取时间
2026-05-13,04:00,17,2026-05-13 03:27:38
2026-05-13,05:00,17,2026-05-13 03:27:38
2026-05-13,06:00,18,2026-05-13 03:27:38
2026-05-13,07:00,19,2026-05-13 03:27:38
2026-05-13,08:00,20,2026-05-13 03:27:38
2026-05-13,09:00,22,2026-05-13 03:27:38
2026-05-13,10:00,24,2026-05-13 03:27:38
2026-05-13,11:00,26,2026-05-13 03:27:38
2026-05-13,12:00,27,2026-05-13 03:27:38
2026-05-13,13:00,27,2026-05-13 03:27:38
2026-05-13,14:00,28,2026-05-13 03:27:38
2026-05-13,15:00,28,2026-05-13 03:27:38
2026-05-13,16:00,28,2026-05-13 03:27:38
2026-05-13,17:00,29,2026-05-13 03:27:38
2026-05-13,18:00,28,2026-05-13 03:27:38
2026-05-13,19:00,27,2026-05-13 03:27:38
2026-05-13,20:00,26,2026-05-13 03:27:38
2026-05-13,21:00,25,2026-05-13 03:27:38
2026-05-13,22:00,23,2026-05-13 03:27:38
2026-05-13,23:00,22,2026-05-13 03:27:38
2026-05-14,00:00,21,2026-05-13 03:27:38
2026-05-14,01:00,20,2026-05-13 03:27:38
